Film,Year,Awards,Nominations
Memoirs of a Geisha,2005,3,6
Moonstruck,1987,3,6
King Kong,2005,3,4
Glory,1989,3,5
Jurassic Park,1993,3,3
The Piano,1993,3,8
Dick Tracy,1990,3,7
The Pianist,2002,3,7
Life Is Beautiful (La vita è bella),1998,3,7
Dangerous Liaisons,1988,3,7
Bram Stoker's Dracula,1992,3,4
A Room with a View,1986,3,8
Black Panther,2018,3,7
Hannah and Her Sisters,1986,3,7
Miracle on 34th Street,1947,3,4
The Diary of Anne Frank,1959,3,8
Elmer Gantry,1960,3,5
Gentleman's Agreement,1947,3,8
The Great Ziegfeld,1936,3,7
How the West Was Won,1963,3,8
Hud,1963,3,7
The Life of Emile Zola,1937,3,10
Love Is a Many-Splendored Thing,1955,3,8
Roman Holiday,1953,3,10
Cavalcade,1932/33,3,4
The Rose Tattoo,1955,3,8
The Story of Louis Pasteur,1936,3,4
Sunrise,1927/28,3,4[10]
Sunset Boulevard,1950,3,11
The Thief of Bagdad,1940,3,4
To Kill a Mockingbird,1962,3,8
The Treasure of the Sierra Madre,1948,3,4
Yankee Doodle Dandy,1942,3,8
Cimarron,1930/31,3,7
Casablanca,1943,3,8
The Killing Fields,1984,3,7
The Godfather,1972,3,10[4]
Reds,1981,3,12
On Golden Pond,1981,3,10
Tess,1980,3,6
Coming Home,1978,3,8
Julia,1977,3,11
Rocky,1976,3,10
Jaws,1975,3,4
The Towering Inferno,1974,3,8
Fiddler on the Roof,1971,3,8
All the King's Men,1949,3,7
Midnight Cowboy,1969,3,7
"Hello, Dolly!",1969,3,7
The Lion in Winter,1968,3,7
Camelot,1967,3,5
Grand Prix,1966,3,3
Darling,1965,3,5
7th Heaven,1927/28,3,5
The Adventures of Robin Hood,1938,3,4
Pan's Labyrinth (El laberinto del fauno),2006,3,6
Roma,2018,3,10
Zorba the Greek (Alexis Zorbas),1964,3,7
The Bourne Ultimatum,2007,3,3
12 Years a Slave,2013,3,9
Dallas Buyers Club,2013,3,6
The Revenant,2015,3,12
Argo,2012,3,7
Les Misérables,2012,3,8
Moonlight,2016,3,8
The Social Network,2010,3,8
Avatar,2009,3,9
Dunkirk,2017,3,8
The Curious Case of Benjamin Button,2008,3,13
Whiplash,2014,3,5
Joan of Arc,1948,2 (1),7
Little Miss Sunshine,2006,2,4
Up,2009,2,5
The Way We Were,1973,2,6
The Robe,1953,2,5
The Red Shoes,1948,2,5
The Exorcist,1973,2,10
Rebecca,1940,2,11
The Quiet Man,1952,2,7
A Double Life,1947,2,4
Philadelphia,1993,2,5
The Great Gatsby,1974,2,2
The Yearling,1946,2,7
Crazy Heart,2009,2,3
Aladdin,1992,2,5
Room at the Top,1959,2,6
Coco,2017,2,2
Pinocchio,1940,2,2
Picnic,1955,2,6
The Philadelphia Story,1940,2,6
Phantom of the Opera,1943,2,4
A Farewell to Arms,1932/33,2,4
Precious,2009,2,6
Bugsy,1991,2,10
JFK,1991,2,8
Beauty and the Beast,1991,2,6
Blade Runner 2049,2017,2,5
Darkest Hour,2017,2,6
One Night of Love,1934,2,6
Fargo,1996,2,7
Stagecoach,1939,2,7
The Country Girl,1954,2,7
Good Will Hunting,1997,2,9
L.A. Confidential,1997,2,9
As Good as It Gets,1997,2,7
Sentinels of Silence,1971,2,2
Nicholas and Alexandra,1971,2,6
Somebody Up There Likes Me,1956,2,3
The Last Picture Show,1971,2,8
The Great Gatsby,2013,2,2
Sergeant York,1941,2,11
Ed Wood,1994,2,2
Apollo 13,1995,2,9
Pocahontas,1995,2,2
The Usual Suspects,1995,2,2
Restoration,1995,2,2
The Defiant Ones,1958,2,9
Separate Tables,1958,2,7
"Three Billboards Outside Ebbing, Missouri",2017,2,7
Samson and Delilah,1950,2,5
An Officer and a Gentleman,1982,2,6
Speed,1994,2,3
Federico Fellini's 8½,1963,2,5
Ghost,1990,2,5
Ryan's Daughter,1970,2,4
A Passage to India,1984,2,11
Lost Horizon,1937,2,7
The Longest Day,1962,2,5
An Inconvenient Truth,2006,2,2
Here Comes Mr. Jordan,1941,2,7
Witness,1985,2,8
Cocoon,1985,2,2
A Letter to Three Wives,1949,2,3
Melvin and Howard,1980,2,3
Fame,1980,2,6
Raging Bull,1980,2,8
Places in the Heart,1984,2,7
Norma Rae,1979,2,4
Arthur,1981,2,4
The Iron Lady,2011,2,2
King Solomon's Mines,1950,2,3
The Hustler,1961,2,9
Judgment at Nuremberg,1961,2,11
The Jolson Story,1946,2,6
Tender Mercies,1983,2,5
Jezebel,1938,2,5
Hacksaw Ridge,2016,2,6
In Old Chicago,1937,2,6
Apocalypse Now,1979,2,8
All Quiet on the Western Front,1929/30,2,4
Oklahoma!,1955,2,4
The Naked City,1948,2,3
Spotlight,2015,2,6
Gaslight,1944,2,7
Bound for Glory,1976,2,6
Lincoln,2012,2,12
Django Unchained,2012,2,5
Skyfall,2012,2,5
Born on the Fourth of July,1989,2,8
My Left Foot,1989,2,5
The Little Mermaid,1989,2,3
National Velvet,1945,2,5
Moulin Rouge,1952,2,7
Aliens,1986,2,7
The Good Earth,1937,2,5
The Miracle Worker,1962,2,5
The Grapes of Wrath,1940,2,7
Alice in Wonderland,2010,2,3
Toy Story 3,2010,2,5
Midnight Express,1978,2,6
Great Expectations,1947,2,5
A Midsummer Night's Dream,1935,2,4[7]
The Greatest Show on Earth,1952,2,5
The Fighter,2010,2,7
Frozen,2013,2,2
The Lion King,1994,2,4
Manchester by the Sea,2016,2,6
Z,1969,2,5
Anna and the King of Siam,1946,2,5
La Vie en rose,2007,2,3
There Will Be Blood,2007,2,8
Dreamgirls,2006,2,8
Ship of Fools,1965,2,8
Mystic River,2003,2,6
Romeo and Juliet,1968,2,4
Three Coins in the Fountain,1954,2,3
Bad Girl,1931/32,2,3
Breakfast at Tiffany's,1961,2,5
Black Hawk Down,2001,2,4
Moulin Rouge!,2001,2,8
Boys Town,1938,2,5
Ray,2004,2,6
The Incredibles,2004,2,4
Battleground,1949,2,6
Born Free,1966,2,2
A Man and a Woman,1966,2,4
Bonnie and Clyde,1967,2,10
Guess Who's Coming to Dinner,1967,2,10
Frida,2002,2,6
The Lord of the Rings: The Two Towers,2002,2,6
Doctor Dolittle,1967,2,9
Black Narcissus,1947,2,2
Fantastic Voyage,1966,2,5
The Big House,1929/30,2,4
Twelve O'Clock High,1949,2,4
"20,000 Leagues Under the Sea",1954,2,3
Master and Commander: The Far Side of the World,2003,2,10
You Can't Take It with You,1938,2,7
Topsy-Turvy,1999,2,4
The Wizard of Oz,1939,2,6[11]
The Cider House Rules,1999,2,7
The Dark Knight,2008,2,8
Wings,1927/28,2,2
Milk,2008,2,8
The Champ,1931/32,2,4
Titanic,1997,11,14
The Lord of the Rings: The Return of the King,2003,11,11
Ben-Hur,1959,11,12
West Side Story,1961,10,11
Close Encounters of the Third Kind,1977,1 (1),8
The Empire Strikes Back,1980,1 (1),3
The Search,1948,1 (1),4
The Poseidon Adventure,1972,1 (1),8
Song of the South,1947,1 (1),2
A Star Is Born,1937,1 (1),7
Gate of Hell (Jigokumon),1954,1 (1),1
Earthquake,1974,1 (1),4
I Won't Play,1944,1,1
I Wanted Wings,1941,1,1
Goldfinger,1964,1,1
Anchors Aweigh,1945,1,5
Sing,2016,1,1
"Goodbye, Miss Turlock",1947,1,1
Grand Canyon,1958,1,1
Grand Hotel,1931/32,1,1
Grandad of Races,1950,1,1
The Bells of St. Mary's,1945,1,8
The Great Caruso,1951,1,3
Becket,1964,1,12
"Goodbye, Mr. Chips",1939,1,7
Ama Girls,1958,1,1
I'll Cry Tomorrow,1955,1,4
The Golden Fish (Histoire d'un poisson rouge),1959,1,1
All That Money Can Buy,1941,1,2
The Gay Divorcee,1934,1,5
Inside Out,2015,1,2
In Old Arizona,1928/29,1,5
The Bespoke Overcoat,1956,1,1
Zootopia,2016,1,1
Gerald McBoing-Boing,1950,1,1
Giant,1956,1,10
Benjy,1951,1,1
Stutterer,2015,1,1
The White Helmets,2016,1,1
Giuseppina,1960,1,1
Give Me Liberty,1936,1,1
Glass (Glas),1959,1,1
The Glenn Miller Story,1954,1,3
Suicide Squad,2016,1,1
In Beaver Valley,1950,1,1
Gold Diggers of 1935,1935,1,2
America America,1963,1,4
Bear Country,1953,1,1
The Salesman,2016,1,1
I Want to Live!,1958,1,6
Arrival,2016,1,8
"Arise, My Love",1940,1,4
Here Comes the Groom,1951,1,2
Aquatic House Party,1949,1,1
A Girl in the River: The Price of Forgiveness,2015,1,1
The High and the Mighty,1954,1,6
Son of Saul,2015,1,1
The Jungle Book,2016,1,1
Annie Get Your Gun,1950,1,4
Hitler Lives,1945,1,1
Helen Keller in Her Story (The Unconquered),1955,1,1
A Hole in the Head,1959,1,1
The Hole,1962,1,1
Holiday Inn,1942,1,3
The Horse with the Flying Tail,1960,1,1
The House on 92nd Street,1945,1,1
Fantastic Beasts and Where to Find Them,2016,1,2
How to Sleep,1935,1,1
Fences,2016,1,4
"Hello, Frisco, Hello",1943,1,2
O.J.: Made in America,2016,1,1
Spectre,2015,1,1
The Barefoot Contessa,1954,1,2
The Great Lie,1941,1,1
The Great McGinty,1940,1,1
The Great Waltz,1938,1,3
Amphibious Fighters,1943,1,1
The Battle of Midway,1942,1,1
Green Dolphin Street,1947,1,4
The Guns of Navarone,1961,1,7
Piper,2016,1,1
Anastasia,1956,1,2
Bear Story,2015,1,1
The Hurricane,1937,1,3
Happy Anniversary (Heureux Anniversaire),1962,1,1
Harvey,1950,1,2
The Harvey Girls,1946,1,2
The Human Comedy,1943,1,5
The Bachelor and the Bobby-Soxer,1947,1,1
The Awful Truth,1937,1,6
Heavenly Music,1943,1,1
Amy,2015,1,1
The Charge of the Light Brigade,1936,1,3
Beyond the Line of Duty,1942,1,1
"Captain Carey, U.S.A.",1950,1,1
The Dark Angel,1935,1,3
The Dawn Patrol,1930/31,1,1
Day of the Painter,1960,1,1
Daybreak in Udi,1949,1,1
Days of Wine and Roses,1962,1,5
December 7th,1943,1,1
Declaration of Independence,1938,1,1
Casals Conducts: 1964,1964,1,1
The Hateful Eight,2015,1,3
Captains Courageous,1937,1,4
Call Me Madam,1953,1,2
A Damsel in Distress,1937,1,2
Calamity Jane,1953,1,3
BUtterfield 8,1960,1,2
Der Fuehrer's Face,1942,1,1
Desert Victory,1943,1,1
Design for Death,1947,1,1
Designing Woman,1957,1,1
Destination Moon,1950,1,2
Bridge of Spies,2015,1,6
Busy Little Bears,1939,1,1
Disraeli,1929/30,1,3
Dangerous,1935,1,1
Cyrano de Bergerac,1950,1,1
The Divine Lady,1928/29,1,3
"Come Back, Little Sheba",1952,1,3
Churchill's Island,1941,1,1
The Danish Girl,2015,1,4
Citizen Kane,1941,1,9
City of Wax,1934,1,1
Cleopatra,1934,1,5
The Big Short,2015,1,5
Climbing the Matterhorn,1947,1,1
A Chance to Live,1949,1,1
Champion,1949,1,6
Come and Get It,1936,1,2
Coquette,1928/29,1,1
La Cucaracha,1934,1,1
The Country Cousin,1936,1,1
Cover Girl,1944,1,5
The Cowboy and the Lady,1938,1,3
Crash Dive,1943,1,1
Chagall,1963,1,1
"Yesterday, Today and Tomorrow (Ieri, oggi, domani)",1964,1,1
Room,2015,1,4
Crashing the Water Barrier,1956,1,1
The Cat Concerto,1946,1,1
The Critic,1963,1,1
Broken Lance,1954,1,2
The Broadway Melody,1928/29,1,3
The Big Broadcast of 1938,1938,1,1
The Favourite,2018,1,10
The Face of Lincoln,1955,1,2
Facing Your Danger,1946,1,1
The Facts of Life,1960,1,5
The Black Swan,1942,1,3
The Farmer's Daughter,1947,1,2
Black Orpheus (Orfeu Negro),1959,1,1
Father Goose,1964,1,3
Black Fox: The Rise and Fall of Adolf Hitler (The Black Fox),1962,1,1
Ferdinand the Bull,1938,1,1
The Yankee Doodle Mouse,1943,1,1
The Fighting Lady,1944,1,1
Blood and Sand,1941,1,2
The Chicken (Le Poulet),1965,1,1
First Steps,1947,1,1
Flowers and Trees,1931/32,1,1
Folies Bergere,1935,1,1
Birds Anonymous,1957,1,1
For Scent-imental Reasons,1949,1,1
For Whom the Bell Tolls,1943,1,9
A Free Soul,1930/31,1,3
Frenchman's Creek,1945,1,1
The Big Country,1958,1,2
Blithe Spirit,1946,1,1
Exodus,1960,1,3
Broadway Melody of 1936,1935,1,3
A Boy and His Dog,1946,1,1
The Bridges at Toko-Ri,1955,1,2
Ex Machina,2015,1,2
The Bridge of San Luis Rey,1928/29,1,1
Breaking the Sound Barrier,1952,1,2
Divorce Italian Style,1962,1,3
The Divorcee,1929/30,1,4
Dodsworth,1936,1,7
The Dot and the Line (The Dot and the Line: A Romance in Lower Mathematics),1965,1,1
The Brave One,1956,1,3
The Dove,1927/28,1,1
Dr. Jekyll and Mr. Hyde,1931/32,1,3
Eskimo,1934,1,1
Dumbo,1941,1,2
Dylan Thomas,1962,1,1
East of Eden,1955,1,4
Born Yesterday,1950,1,5
Easter Parade,1948,1,1
Bored of Education,1936,1,1
The Enemy Below,1957,1,1
Body and Soul,1947,1,3
Blossoms in the Dust,1941,1,4
Blood on the Sun,1945,1,1
The Bishop's Wife,1947,1,5
The Lives of a Bengal Lancer,1935,1,7
Interrupted Melody,1955,1,3
World of Kids,1951,1,1
Skin,2018,1,1
The Stratton Story,1949,1,1
Street Angel,1927/28,1,3
Period. End of Sentence.,2018,1,1
Strike Up the Band,1940,1,3
The Substitute,1961,1,1
Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,1,3
Free Solo,2018,1,1
Bao,2018,1,1
Survival City,1955,1,1
Suspicion,1941,1,3
Sweet Bird of Youth,1962,1,3
Swing Time,1936,1,2
Symphony of a City,1948,1,1
Tabu,1930/31,1,1
"Teddy, the Rough Rider",1940,1,1
Tempest,1927/28,1,1
The Ten Commandments,1956,1,7
That Hamilton Woman,1941,1,4
That Mothers Might Live,1938,1,1
If Beale Street Could Talk,2018,1,3
The Third Man,1950,1,3
Thirty Seconds Over Tokyo,1944,1,2
This Above All,1942,1,4
This Is the Army,1943,1,3
This Land Is Mine,1943,1,1
This Mechanical Age,1954,1,1
State Fair,1945,1,2
Star in the Night,1945,1,1
Three Little Pigs,1932/33,1,1
Stalag 17,1953,1,3
Seven Brides for Seven Brothers,1954,1,5
Seven Days to Noon,1951,1,1
The Seventh Veil,1946,1,1
Shane,1953,1,6
Shanghai Express,1931/32,1,3
She Wore a Yellow Ribbon,1949,1,1
The Silent World (Le Monde du silence),1956,1,1
The Sin of Madelon Claudet,1931/32,1,1
Since You Went Away,1944,1,9
Skippy,1930/31,1,4
Sky Above and Mud Beneath (Le Ciel et la boue),1961,1,1
The Snake Pit,1948,1,6
So Much for So Little,1949,1,1
So This Is Harris!,1932/33,1,1
The Solid Gold Cadillac,1956,1,2
Some Like It Hot,1959,1,6
World Without Sun (Le Monde sans soleil),1964,1,1
Song Without End,1960,1,1
Sons and Lovers,1960,1,7
Sons of Liberty,1939,1,1
South Pacific,1958,1,3
Spider-Man: Into the Spider-Verse,2018,1,1
Speaking of Animals and Their Families,1942,1,1
Speedy Gonzales,1955,1,1
Spellbound,1945,1,6
Splendor in the Grass,1961,1,2
Stairway to Light,1945,1,1
The Three Faces of Eve,1957,1,1
Three Orphan Kittens,1935,1,1
Seeds of Destiny,1946,1,1
Vacation from Marriage (UK title Perfect Strangers),1946,1,1
The Vanishing Prairie,1954,1,1
The Virgin Spring (Jungfrukällan),1960,1,2
Viva Villa!,1934,1,4
Viva Zapata!,1952,1,5
Waikiki Wedding,1937,1,2
The War of the Worlds,1953,1,3
Watch on the Rhine,1943,1,4
Water Birds,1952,1,1
The Way of All Flesh,1927/28,1,1
The Westerner,1940,1,3
The Wetback Hound,1957,1,1
What Ever Happened to Baby Jane?,1962,1,5
When Tomorrow Comes,1939,1,1
When Magoo Flew,1954,1,1
When Worlds Collide,1951,1,2
White Shadows in the South Seas,1928/29,1,1
White Wilderness,1958,1,2
Who's Who in Animal Land,1944,1,1
Why Korea?,1950,1,1
A Star Is Born,2018,1,8
Wings Over Everest,1935,1,1
With a Song in My Heart,1952,1,5
With Byrd at the South Pole,1929/30,1,1
With the Marines at Tarawa,1944,1,1
Woman of the Year,1942,1,2
Wonder Man,1945,1,4
The Wonderful World of the Brothers Grimm,1962,1,4
Van Gogh,1949,1,1
The V.I.P.s,1963,1,1
Through a Glass Darkly (Såsom i en spegel),1961,1,2
Underworld,1927/28,1,1
Thunderball,1965,1,1
Thursday's Children,1954,1,1
The Time Machine,1960,1,1
A Time Out of War,1954,1,1
Tin Pan Alley,1940,1,1
The Titan: Story of Michelangelo,1950,1,1
Titanic,1953,1,2
To Catch a Thief,1955,1,3
To Each His Own,1946,1,2
First Man,2018,1,4
BlacKkKlansman,2018,1,6
tom thumb,1958,1,1
"Toot, Whistle, Plunk and Boom",1953,1,1
Topkapi,1964,1,1
The Tortoise and the Hare,1934,1,1
Torture Money,1937,1,1
Toward Independence,1948,1,1
Transatlantic,1931/32,1,1
Vice,2018,1,8
A Tree Grows in Brooklyn,1945,1,2
The True Glory,1945,1,1
The True Story of the Civil War,1956,1,1
Tweetie Pie,1947,1,1
Two Arabian Knights,1927/28,1,1
The Two Mouseketeers,1951,1,1
Two Women (La Ciociara),1961,1,1
The Ugly Duckling,1939,1,1
Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,1,1
The Secret Land,1948,1,1
The Invaders,1942,1,3
The Little Orphan,1948,1,1
Little Women,1949,1,2
The Living Desert,1953,1,1
Icarus,2017,1,1
Heaven Is a Traffic Jam on the 405,2017,1,1
Lust for Life,1956,1,4
Magoo's Puddle Jumper,1956,1,1
Written on the Wind,1956,1,3
Main Street on the March!,1941,1,1
The Man Who Knew Too Much,1956,1,1
Manhattan Melodrama,1934,1,1
Marie-Louise,1945,1,1
A Fantastic Woman,2017,1,1
Dear Basketball,2017,1,1
Men Against the Arctic,1955,1,1
The Merry Widow,1934,1,1
Mighty Joe Young,1949,1,1
Mildred Pierce,1945,1,6
The Milky Way,1940,1,1
Min and Bill,1930/31,1,1
"I, Tonya",2017,1,3
Mister Roberts,1955,1,3
Moonbird,1959,1,1
The More the Merrier,1943,1,6
Morning Glory,1932/33,1,1
Moscow Strikes Back,1942,1,1
Mother Wore Tights,1947,1,3
Mouse Trouble,1944,1,1
Little Women,1932/33,1,3
Lilies of the Field,1963,1,5
Mr. Smith Goes to Washington,1939,1,11
Lili,1953,1,6
Irma la Douce,1963,1,3
"It's a Mad, Mad, Mad, Mad World",1963,1,6
Johann Mouse,1952,1,1
Johnny Belinda,1948,1,12
Johnny Eager,1942,1,1
The Joker Is Wild,1957,1,1
Julius Caesar,1953,1,5
Kentucky,1938,1,1
Key Largo,1948,1,1
Wuthering Heights,1939,1,8
King of Jazz,1929/30,1,1
Kitty Foyle (Kitty Foyle: The Natural History of a Woman),1940,1,5
Knighty Knight Bugs,1958,1,1
Kokoda Front Line!,1942,1,1
Kon-Tiki,1950,1,1
Krakatoa,1932/33,1,1
La Strada (The Road),1956,1,2
La Dolce Vita,1961,1,4
Lady Be Good,1941,1,1
The Last Command,1927/28,1,2
Laura,1944,1,5
The Lavender Hill Mob,1952,1,2
Leave Her to Heaven,1945,1,4
Lend a Paw,1941,1,1
Les Girls,1957,1,3
The Silent Child,2017,1,1
Light in the Window,1952,1,1
Mr. Deeds Goes to Town,1936,1,5
Get Out,2017,1,4
Seawards the Great Ships,1961,1,1
Wrestling Swordfish,1931/32,1,1
The Picture of Dorian Gray,1945,1,3
Pillow Talk,1959,1,5
The Pink Phink,1964,1,1
Plymouth Adventure,1952,1,1
Porgy and Bess,1959,1,4
Portrait of Jennie,1948,1,2
Prelude to War,1942,1,1
Pride and Prejudice,1940,1,1
The Pride of the Yankees,1942,1,11
Princess O'Rourke,1943,1,1
The Private Life of Henry VIII,1932/33,1,2
The Private Life of the Gannets,1937,1,1
Project Hope,1961,1,1
The Public Pays,1936,1,1
Pygmalion,1938,1,4
Quicker'n a Wink,1940,1,1
Quiet Please!,1945,1,1
The Rains Came,1939,1,6[9]
The Razor's Edge,1946,1,4
Reap the Wild Wind,1942,1,3
The Red Balloon (Le ballon rouge),1956,1,1
Robert Frost: A Lover's Quarrel with the World,1963,1,1
Sabrina,1954,1,6
San Francisco,1936,1,6
The Scoundrel,1935,1,1
The Sea Around Us,1952,1,1
Seal Island,1948,1,1
Penny Wisdom,1937,1,1
The Patriot,1928/29,1,5
Munro,1960,1,1
Papa's Delicate Condition,1963,1,1
The Music Box,1931/32,1,1
The Music Man,1962,1,6
Mutiny on the Bounty,1935,1,8
Call Me by Your Name,2017,1,4
My Uncle (Mon oncle),1958,1,1
Nature's Half Acre,1951,1,1
Naughty Marietta,1935,1,2
Neighbours,1952,1,2
Neptune's Daughter,1949,1,1
Never on Sunday (Pote tin Kyriaki),1960,1,5
The Night of the Iguana,1964,1,4
Nights of Cabiria (Le Notti di Cabiria),1957,1,1
Nine from Little Rock,1964,1,1
None But the Lonely Heart,1944,1,4
North West Mounted Police,1940,1,5
"Now, Voyager",1942,1,3
An Occurrence at Owl Creek Bridge,1963,1,1[8]
Of Pups and Puzzles,1941,1,1
The Old Man and the Sea,1958,1,3
The Old Mill,1937,1,1
On the Town,1949,1,1
Phantom Thread,2017,1,6
One Hundred Men and a Girl,1937,1,5
One Way Passage,1932/33,1,1
Overture to The Merry Wives of Windsor,1953,1,1
The Paleface,1948,1,1
Panic in the Streets,1950,1,1
Love Me or Leave Me,1955,1,6
Juno,2007,1,4
Alexander's Ragtime Band,1938,1,6
Jerry Maguire,1996,1,5
Bob's Birthday,1994,1,1
Blue Sky,1994,1,1
The Blind Side,2009,1,2
The Young Victoria,2009,1,3
Star Trek,2009,1,4
The Fugitive,1993,1,7
The Age of Innocence,1993,1,5
The Wrong Trousers,1993,1,1
Belle Epoque (The Beautiful Era),1993,1,1
I Am a Promise: The Children of Stanton Elementary School,1993,1,1
Mrs. Doubtfire,1993,1,1
Black Rider (Schwarzfahrer),1993,1,1
Defending Our Lives,1993,1,1
Inglourious Basterds,2009,1,8
The Crying Game,1992,1,6
Scent of a Woman,1992,1,4
A River Runs Through It,1992,1,3
Indochine,1992,1,2
My Cousin Vinny,1992,1,1
The Panama Deception,1992,1,1
Educating Peter,1992,1,1
The Last of the Mohicans,1992,1,1
Death Becomes Her,1992,1,1
Omnibus,1992,1,1
Mona Lisa Descending a Staircase,1992,1,1
Thelma & Louise,1991,1,6
The Fisher King,1991,1,5
In the Shadow of the Stars,1991,1,1
Manipulation,1991,1,1
"The Adventures of Priscilla, Queen of the Desert",1994,1,1
Trevor,1994,1,1
Burnt by the Sun (Utomlyonnye solntsem),1994,1,1
Dead Man Walking,1995,1,4
Emma,1996,1,2
Sling Blade,1996,1,2
The Ghost and the Darkness,1996,1,1
Kolya,1996,1,1
The Nutty Professor,1996,1,1
Quest,1996,1,1
When We Were Kings,1996,1,1
Breathing Lessons: The Life and Work of Mark O'Brien,1996,1,1
Dear Diary,1996,1,1
The Secret in Their Eyes,2009,1,1
Babe,1995,1,7
Sense and Sensibility,1995,1,7
Il Postino: The Postman,1995,1,5
Leaving Las Vegas,1995,1,4
Maya Lin: A Strong Clear Vision,1994,1,1
Mighty Aphrodite,1995,1,2
Anne Frank Remembered,1995,1,1
A Close Shave,1995,1,1
Lieberman in Love,1995,1,1
One Survivor Remembers,1995,1,1
Antonia's Line (Antonia),1995,1,1
Music by Prudence,2009,1,1
Pulp Fiction,1994,1,7
Bullets over Broadway,1994,1,7
The Madness of King George,1994,1,4
Legends of the Fall,1994,1,3
A Time for Justice,1994,1,1
Franz Kafka's It's a Wonderful Life,1994,1,1
Mediterraneo,1991,1,1
Session Man,1991,1,1
City Slickers,1991,1,1
The Man Who Planted Trees (L' Homme qui plantait des arbres),1987,1,1
The Accused,1988,1,1
The Appointments of Dennis Jennings,1988,1,1
Beetlejuice,1988,1,1
Bird,1988,1,1
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,1,1
The Milagro Beanfield War,1988,1,1
Tin Toy,1988,1,1
You Don't Have to Die,1988,1,1
The Untouchables,1987,1,4
Babette's Feast (Babettes gæstebud),1987,1,1
Dirty Dancing,1987,1,1
Harry and the Hendersons,1987,1,1
Innerspace,1987,1,1
Ray's Male Heterosexual Dance Hall,1987,1,1
A Fish Called Wanda,1988,1,3
The Ten-Year Lunch,1987,1,1
Wall Street,1987,1,1
Young at Heart,1987,1,1
Rango,2011,1,1
The Mission,1986,1,7
